Agrupamiento_7,Values,Count,Column,All,prc
3.0,HOTEL,778,ALOJAMIENTO,1361.0,57.163850110213076
3.0,"CASA PROPIA, DE FAMILIARES O AMIGOS (SIN PAGO)",271,ALOJAMIENTO,1361.0,19.91182953710507
3.0,HOSTAL,143,ALOJAMIENTO,1361.0,10.50698016164585
4.0,"CASA PROPIA, DE FAMILIARES O AMIGOS (SIN PAGO)",1368,ALOJAMIENTO,1616.0,84.65346534653465
4.0,HOTEL,164,ALOJAMIENTO,1616.0,10.14851485148515
4.0,OTRO,21,ALOJAMIENTO,1616.0,1.2995049504950495
5.0,"CASA PROPIA, DE FAMILIARES O AMIGOS (SIN PAGO)",2016,ALOJAMIENTO,2186.0,92.22323879231473
5.0,HOTEL,70,ALOJAMIENTO,2186.0,3.2021957913998174
5.0,HOSTAL,26,ALOJAMIENTO,2186.0,1.1893870082342177
6.0,HOTEL,787,ALOJAMIENTO,1379.0,57.07034082668601
6.0,"CASA PROPIA, DE FAMILIARES O AMIGOS (SIN PAGO)",395,ALOJAMIENTO,1379.0,28.64394488759971
6.0,INMUEBLE DE ALQUILER AIRBNB,61,ALOJAMIENTO,1379.0,4.423495286439449
7.0,"CASA PROPIA, DE FAMILIARES O AMIGOS (SIN PAGO)",1739,ALOJAMIENTO,1869.0,93.04440877474586
7.0,HOTEL,41,ALOJAMIENTO,1869.0,2.1936864633493847
7.0,OTRO,26,ALOJAMIENTO,1869.0,1.3911182450508293
