Unnamed: 0,name,localidad,latitude,longitude,type,color
7308,Parque Metropolitano Timiza - Villa del Río,KENNEDY,4.609124,-74.154352,Atractivo Turistico,#00B4EB
7314,Puente de San Antonio de la Zanja,FONTIBON,4.665718,-74.140646,Atractivo Turistico,#00B4EB
7317,Monumento a Isabel La Católica y Cristóbal Colón,FONTIBON,4.687546,-74.128474,Atractivo Turistico,#00B4EB
7323,Catedral Santiago Apóstol,FONTIBON,4.672558,-74.144115,Atractivo Turistico,#00B4EB
7327,Maloka Museo Interactivo,FONTIBON,4.655647,-74.109273,Atractivo Turistico,#00B4EB
7330,Escultura El Viajero,FONTIBON,4.692044,-74.133848,Atractivo Turistico,#00B4EB
7338,Museo de Bogotá Sede Casa de los 7 Balcones,CANDELARIA,4.595427,-74.073058,Atractivo Turistico,#00B4EB
7340,Museo de Bogotá Sede Casa Samano,CANDELARIA,4.595818,-74.073037,Atractivo Turistico,#00B4EB
7343,Conjunto Escultórico Doble Victoria Alada,FONTIBON,4.692942,-74.135567,Atractivo Turistico,#00B4EB
7347,Monumento La Ventana,FONTIBON,4.677246,-74.118837,Atractivo Turistico,#00B4EB
7353,Escultura Longos,TEUSAQUILLO,4.64048,-74.094711,Atractivo Turistico,#00B4EB
7356,Archivo General de la Nación,CANDELARIA,4.594078,-74.07685,Atractivo Turistico,#00B4EB
7357,Escultura Horizontes,FONTIBON,4.693943,-74.136949,Atractivo Turistico,#00B4EB
7358,Escultura Eclipse,TEUSAQUILLO,4.648611,-74.100171,Atractivo Turistico,#00B4EB
7359,Escultura Intiwatana,FONTIBON,4.673153,-74.115976,Atractivo Turistico,#00B4EB
7361,Monumento Pedazo de Río,FONTIBON,4.697162,-74.139429,Atractivo Turistico,#00B4EB
7362,Monumento Oración al Proscrito,FONTIBON,4.697393,-74.139816,Atractivo Turistico,#00B4EB
7367,Claustro de San Agustín,CANDELARIA,4.595374,-74.07847,Atractivo Turistico,#00B4EB
7374,Observatorio Astronómico Nacional,CANDELARIA,4.596112,-74.077545,Atractivo Turistico,#00B4EB
7378,Puente de Guadua Jenny Garzón,ENGATIVA,4.727672,-74.126255,Atractivo Turistico,#00B4EB
7379,Plaza Fundacional de Fontibón,FONTIBON,4.673298,-74.144729,Atractivo Turistico,#00B4EB
7380,Centro Cultural Gabriel García Márquez,CANDELARIA,4.597674,-74.073969,Atractivo Turistico,#00B4EB
7382,Casa de la Cultura de Fontibón Cacique Hyntiba,FONTIBON,4.672972,-74.14525,Atractivo Turistico,#00B4EB
7386,Museo Histórico de la Fiscalía General de la Nación,SANTA FE,4.607749,-74.075886,Atractivo Turistico,#00B4EB
7387,Salitre Plaza Centro Comercial,FONTIBON,4.653391,-74.109935,Atractivo Turistico,#00B4EB
7389,Parque Sauzalito,FONTIBON,4.653532,-74.112271,Atractivo Turistico,#00B4EB
7391,Monumento Todas Las Banderas,KENNEDY,4.631138,-74.148297,Atractivo Turistico,#00B4EB
7392,Museo del Saber en la Gestión de Riesgo de Desastres de Colombia,ENGATIVA,4.683398,-74.120454,Atractivo Turistico,#00B4EB
7394,Titán Plaza Centro Comercial y Empresarial,ENGATIVA,4.694708,-74.086188,Atractivo Turistico,#00B4EB
7395,Estación de la Sabana de Bogotá,LOS MARTIRES,4.607094,-74.083342,Atractivo Turistico,#00B4EB
7397,Escultura Minerva,CANDELARIA,4.596736,-74.072786,Atractivo Turistico,#00B4EB
7407,Casa Hacienda La Conejera,SUBA,4.768335,-74.080936,Atractivo Turistico,#00B4EB
7409,Iglesia Nuestra Señora de los Ángeles La Porciúncula,CHAPINERO,4.657332,-74.058231,Atractivo Turistico,#00B4EB
7410,Iglesia Nuestra Señora de Chiquinquirá,CHAPINERO,4.638414,-74.064954,Atractivo Turistico,#00B4EB
7416,Casa Grau Museo,CHAPINERO,4.675176,-74.041655,Atractivo Turistico,#00B4EB
7417,Museo de Historia de la Medicina Ricardo Rueda González,CHAPINERO,4.651676,-74.057599,Atractivo Turistico,#00B4EB
7421,Granja Atahualpa,USME,4.467945,-74.116532,Atractivo Turistico,#00B4EB
7423,Laguna Chinará,USME,4.4495,-74.0851,Atractivo Turistico,#00B4EB
7425,Agroparque Los Soches,USME,4.473873,-74.087373,Atractivo Turistico,#00B4EB
7429,Biblioteca Pública El Tunal Gabriel García Márquez,TUNJUELITO,4.571898,-74.129857,Atractivo Turistico,#00B4EB
7430,Edificio del Concejo de Bogotá,TEUSAQUILLO,4.624928,-74.077749,Atractivo Turistico,#00B4EB
7433,Plaza del Concejo de Bogotá Luis Carlos Sarmiento,TEUSAQUILLO,4.62485,-74.078319,Atractivo Turistico,#00B4EB
7437,Cabildo Indígena MHUYSQA de Bosa,BOSA,4.617649,-74.204141,Atractivo Turistico,#00B4EB
7438,Museo Histórico Mariano Ospina Pérez,TEUSAQUILLO,4.628153,-74.074837,Atractivo Turistico,#00B4EB
7442,Park Way,TEUSAQUILLO,4.629459,-74.075201,Atractivo Turistico,#00B4EB
7446,Museo de la Independencia Casa del Florero,CANDELARIA,4.59833,-74.075105,Atractivo Turistico,#00B4EB
7449,Teatro Municipal Jorge Eliécer Gaitán,SANTA FE,4.608779,-74.070923,Atractivo Turistico,#00B4EB
7450,Monumento a Sía la Diosa del Agua,KENNEDY,4.62984,-74.131435,Atractivo Turistico,#00B4EB
7453,Monumento a las Banderas,KENNEDY,4.631138,-74.148297,Atractivo Turistico,#00B4EB
7454,Zona Gastronómica La Macarena,SANTA FE,4.61379,-74.066977,Atractivo Turistico,#00B4EB
7456,Rieles del Tranvía,SANTA FE,4.60151,-74.073377,Atractivo Turistico,#00B4EB
7458,Puente de Boyacá,CANDELARIA,4.602766,-74.06723,Atractivo Turistico,#00B4EB
7462,Plazoleta del Rosario,CANDELARIA,4.600704,-74.072923,Atractivo Turistico,#00B4EB
7468,Plaza La Santamaría,SANTA FE,4.612915,-74.068133,Atractivo Turistico,#00B4EB
7473,Escultura Pepe Cáceres,SANTA FE,4.61284,-74.068414,Atractivo Turistico,#00B4EB
7479,Escultura César Rincón,SANTA FE,4.613193,-74.068513,Atractivo Turistico,#00B4EB
7480,Pastelería Florida,CANDELARIA,4.607324,-74.070662,Atractivo Turistico,#00B4EB
7485,Parque Nacional Enrique Olaya Herrera,SANTA FE,4.62351,-74.062214,Atractivo Turistico,#00B4EB
7486,Parque de los Periodistas Gabriel García Márquez,SANTA FE,4.60125,-74.069444,Atractivo Turistico,#00B4EB
7491,Pasaje La Macarena,SANTA FE,4.606871,-74.072312,Atractivo Turistico,#00B4EB
7492,Estatua Antonio Nariño,CANDELARIA,4.596412,-74.076795,Atractivo Turistico,#00B4EB
7493,Museo de Arte Moderno de Bogotá,SANTA FE,4.610256,-74.069261,Atractivo Turistico,#00B4EB
7494,Escultura La Pola,CANDELARIA,4.601624,-74.067657,Atractivo Turistico,#00B4EB
